Product ID,Failure Type
M15079,No Failure
L47400,No Failure
H29635,No Failure
L47402,No Failure
L47403,No Failure
L47404,No Failure
L47405,No Failure
L47406,No Failure
L47407,No Failure
M15088,No Failure
L47409,No Failure
L47410,No Failure
L47411,No Failure
L47412,No Failure
L47413,No Failure
L47414,No Failure
M15095,No Failure
L47416,No Failure
M15097,No Failure
L47418,No Failure
L47419,No Failure
M15100,No Failure
L47421,No Failure
L47422,Overstrain Failure
L47423,No Failure
M15104,No Failure
M15105,No Failure
L47426,No Failure
L47427,No Failure
L47428,Overstrain Failure
L47429,Overstrain Failure
L47430,No Failure
M15111,No Failure
L47432,No Failure
L47433,No Failure
L47434,No Failure
L47435,No Failure
L47436,No Failure
L47437,No Failure
L47438,No Failure
M15119,Power Failure
M15120,No Failure
L47441,No Failure
M15122,No Failure
M15123,No Failure
L47444,No Failure
L47445,No Failure
H29680,No Failure
L47447,No Failure
H29682,No Failure
L47449,No Failure
H29684,No Failure
M15131,No Failure
L47452,No Failure
L47453,No Failure
L47454,No Failure
L47455,No Failure
M15136,No Failure
H29691,No Failure
M15138,No Failure
L47459,No Failure
M15140,No Failure
L47461,No Failure
M15142,No Failure
L47463,No Failure
L47464,No Failure
L47465,No Failure
L47466,No Failure
L47467,No Failure
H29702,No Failure
L47469,No Failure
L47470,No Failure
L47471,No Failure
L47472,No Failure
H29707,No Failure
M15154,No Failure
M15155,No Failure
L47476,No Failure
L47477,No Failure
H29712,No Failure
M15159,No Failure
L47480,No Failure
L47481,No Failure
H29716,No Failure
M15163,No Failure
L47484,No Failure
L47485,No Failure
L47486,No Failure
M15167,No Failure
L47488,No Failure
M15169,No Failure
H29724,No Failure
M15171,No Failure
L47492,No Failure
L47493,No Failure
M15174,No Failure
L47495,No Failure
L47496,No Failure
L47497,No Failure
L47498,No Failure
L47499,No Failure
H29734,No Failure
L47501,No Failure
L47502,No Failure
L47503,No Failure
M15184,No Failure
L47505,No Failure
L47506,No Failure
L47507,Overstrain Failure
H29742,No Failure
H29743,No Failure
M15190,No Failure
M15191,No Failure
M15192,No Failure
L47513,No Failure
M15194,No Failure
L47515,No Failure
M15196,No Failure
L47517,No Failure
L47518,No Failure
M15199,No Failure
L47520,No Failure
M15201,No Failure
L47522,No Failure
L47523,No Failure
M15204,No Failure
L47525,No Failure
M15206,No Failure
L47527,No Failure
L47528,No Failure
L47529,No Failure
H29764,No Failure
M15211,No Failure
M15212,No Failure
H29767,No Failure
L47534,No Failure
L47535,No Failure
M15216,No Failure
L47537,No Failure
M15218,No Failure
M15219,No Failure
M15220,No Failure
L47541,No Failure
H29776,No Failure
L47543,No Failure
L47544,No Failure
L47545,No Failure
M15226,No Failure
M15227,No Failure
L47548,No Failure
H29783,No Failure
M15230,No Failure
L47551,No Failure
M15232,No Failure
L47553,No Failure
L47554,No Failure
L47555,No Failure
M15236,No Failure
M15237,No Failure
L47558,No Failure
L47559,No Failure
L47560,Power Failure
L47561,No Failure
L47562,No Failure
M15243,No Failure
L47564,No Failure
M15245,No Failure
L47566,No Failure
L47567,No Failure
L47568,No Failure
M15249,No Failure
L47570,No Failure
L47571,No Failure
M15252,No Failure
M15253,No Failure
L47574,No Failure
L47575,No Failure
L47576,No Failure
M15257,No Failure
H29812,No Failure
L47579,No Failure
L47580,No Failure
L47581,No Failure
L47582,No Failure
L47583,No Failure
L47584,No Failure
L47585,No Failure
L47586,No Failure
M15267,No Failure
M15268,No Failure
L47589,No Failure
M15270,No Failure
L47591,No Failure
L47592,No Failure
L47593,No Failure
L47594,No Failure
L47595,No Failure
L47596,No Failure
L47597,No Failure
L47598,No Failure
M15279,No Failure
M15280,No Failure
M15281,No Failure
L47602,No Failure
L47603,No Failure
L47604,No Failure
M15285,No Failure
L47606,No Failure
M15287,No Failure
M15288,No Failure
L47609,No Failure
L47610,No Failure
L47611,No Failure
M15292,No Failure
M15293,No Failure
M15294,No Failure
L47615,No Failure
L47616,No Failure
L47617,No Failure
L47618,No Failure
M15299,No Failure
L47620,No Failure
H29855,No Failure
L47622,Power Failure
H29857,No Failure
L47624,No Failure
L47625,No Failure
L47626,No Failure
M15307,No Failure
L47628,No Failure
L47629,No Failure
M15310,No Failure
H29865,No Failure
M15312,No Failure
L47633,No Failure
L47634,No Failure
L47635,No Failure
H29870,No Failure
L47637,No Failure
L47638,No Failure
L47639,No Failure
H29874,No Failure
L47641,No Failure
L47642,No Failure
L47643,Power Failure
L47644,No Failure
M15325,No Failure
L47646,No Failure
L47647,No Failure
L47648,No Failure
M15329,No Failure
H29884,No Failure
H29885,No Failure
M15332,No Failure
M15333,No Failure
L47654,No Failure
L47655,No Failure
L47656,No Failure
H29891,No Failure
L47658,No Failure
M15339,No Failure
L47660,No Failure
M15341,No Failure
L47662,No Failure
L47663,No Failure
L47664,No Failure
M15345,No Failure
M15346,No Failure
M15347,No Failure
L47668,No Failure
M15349,No Failure
L47670,No Failure
L47671,No Failure
L47672,No Failure
L47673,No Failure
L47674,No Failure
H29909,No Failure
M15356,No Failure
L47677,No Failure
L47678,No Failure
L47679,No Failure
M15360,No Failure
M15361,No Failure
L47682,No Failure
M15363,No Failure
M15364,No Failure
L47685,No Failure
L47686,No Failure
H29921,No Failure
L47688,No Failure
M15369,No Failure
L47690,No Failure
L47691,No Failure
L47692,No Failure
L47693,No Failure
L47694,No Failure
L47695,No Failure
L47696,No Failure
M15377,No Failure
L47698,No Failure
M15379,No Failure
L47700,No Failure
L47701,No Failure
M15382,No Failure
L47703,No Failure
L47704,No Failure
L47705,No Failure
L47706,No Failure
M15387,No Failure
M15388,No Failure
L47709,No Failure
M15390,No Failure
L47711,No Failure
L47712,No Failure
L47713,No Failure
L47714,No Failure
H29949,No Failure
L47716,No Failure
H29951,No Failure
M15398,No Failure
M15399,No Failure
L47720,No Failure
L47721,No Failure
L47722,No Failure
H29957,No Failure
M15404,No Failure
L47725,No Failure
L47726,No Failure
M15407,No Failure
L47728,No Failure
L47729,No Failure
L47730,No Failure
L47731,No Failure
M15412,No Failure
M15413,No Failure
H29968,No Failure
M15415,No Failure
L47736,No Failure
M15417,No Failure
L47738,No Failure
L47739,No Failure
L47740,No Failure
M15421,No Failure
L47742,No Failure
L47743,No Failure
H29978,No Failure
H29979,No Failure
M15426,No Failure
M15427,No Failure
L47748,No Failure
M15429,No Failure
L47750,No Failure
M15431,No Failure
L47752,No Failure
L47753,No Failure
M15434,No Failure
M15435,No Failure
H29990,No Failure
L47757,No Failure
L47758,No Failure
M15439,No Failure
M15440,No Failure
L47761,No Failure
L47762,No Failure
H29997,No Failure
H29998,No Failure
L47765,No Failure
L47766,Overstrain Failure
H30001,No Failure
L47768,No Failure
L47769,No Failure
L47770,No Failure
H30005,No Failure
H30006,No Failure
L47773,No Failure
H30008,No Failure
M15455,No Failure
M15456,No Failure
H30011,No Failure
L47778,No Failure
H30013,No Failure
L47780,No Failure
L47781,No Failure
L47782,No Failure
L47783,Power Failure
L47784,No Failure
M15465,No Failure
L47786,No Failure
M15467,No Failure
L47788,No Failure
L47789,No Failure
L47790,No Failure
L47791,No Failure
L47792,No Failure
L47793,No Failure
M15474,No Failure
L47795,No Failure
H30030,No Failure
M15477,No Failure
H30032,No Failure
L47799,No Failure
M15480,No Failure
L47801,No Failure
M15482,No Failure
L47803,No Failure
H30038,No Failure
L47805,No Failure
L47806,No Failure
L47807,No Failure
M15488,No Failure
L47809,No Failure
L47810,No Failure
L47811,No Failure
H30046,No Failure
L47813,No Failure
L47814,No Failure
L47815,No Failure
L47816,No Failure
L47817,No Failure
L47818,No Failure
L47819,No Failure
M15500,No Failure
L47821,No Failure
M15502,No Failure
M15503,No Failure
H30058,No Failure
L47825,No Failure
M15506,No Failure
L47827,No Failure
H30062,No Failure
M15509,No Failure
L47830,No Failure
L47831,No Failure
L47832,No Failure
L47833,No Failure
L47834,No Failure
L47835,No Failure
M15516,No Failure
L47837,No Failure
L47838,No Failure
L47839,No Failure
M15520,No Failure
M15521,No Failure
M15522,No Failure
L47843,No Failure
L47844,No Failure
L47845,No Failure
L47846,No Failure
L47847,No Failure
L47848,No Failure
H30083,No Failure
L47850,No Failure
L47851,No Failure
M15532,No Failure
L47853,No Failure
L47854,No Failure
M15535,No Failure
H30090,No Failure
L47857,No Failure
M15538,No Failure
L47859,No Failure
M15540,No Failure
M15541,No Failure
H30096,No Failure
L47863,No Failure
L47864,No Failure
M15545,No Failure
M15546,No Failure
M15547,No Failure
H30102,No Failure
H30103,No Failure
H30104,No Failure
L47871,No Failure
L47872,No Failure
L47873,No Failure
L47874,No Failure
L47875,No Failure
M15556,No Failure
M15557,No Failure
L47878,No Failure
H30113,No Failure
M15560,No Failure
L47881,No Failure
M15562,No Failure
H30117,No Failure
L47884,No Failure
L47885,No Failure
M15566,No Failure
L47887,No Failure
M15568,No Failure
M15569,No Failure
M15570,No Failure
L47891,No Failure
L47892,No Failure
L47893,No Failure
L47894,No Failure
L47895,No Failure
H30130,No Failure
L47897,No Failure
L47898,No Failure
L47899,No Failure
L47900,No Failure
L47901,No Failure
L47902,No Failure
M15583,No Failure
L47904,No Failure
L47905,No Failure
M15586,No Failure
H30141,No Failure
M15588,No Failure
L47909,No Failure
M15590,No Failure
M15591,No Failure
L47912,No Failure
M15593,No Failure
H30148,No Failure
L47915,No Failure
L47916,No Failure
H30151,No Failure
L47918,No Failure
L47919,No Failure
M15600,No Failure
L47921,No Failure
L47922,No Failure
L47923,No Failure
L47924,No Failure
L47925,No Failure
L47926,Overstrain Failure
L47927,No Failure
H30162,No Failure
L47929,No Failure
L47930,No Failure
M15611,No Failure
L47932,No Failure
L47933,No Failure
M15614,No Failure
H30169,No Failure
L47936,No Failure
L47937,No Failure
L47938,No Failure
M15619,No Failure
L47940,No Failure
L47941,No Failure
M15622,No Failure
L47943,No Failure
L47944,No Failure
L47945,No Failure
L47946,No Failure
L47947,No Failure
L47948,No Failure
L47949,No Failure
L47950,No Failure
H30185,No Failure
H30186,No Failure
L47953,No Failure
L47954,No Failure
L47955,No Failure
L47956,No Failure
L47957,No Failure
L47958,No Failure
L47959,No Failure
M15640,No Failure
L47961,No Failure
L47962,No Failure
H30197,No Failure
L47964,No Failure
M15645,No Failure
L47966,No Failure
L47967,No Failure
M15648,No Failure
M15649,No Failure
L47970,No Failure
L47971,No Failure
L47972,No Failure
M15653,No Failure
H30208,No Failure
L47975,No Failure
M15656,No Failure
L47977,No Failure
M15658,No Failure
M15659,No Failure
M15660,No Failure
L47981,No Failure
L47982,No Failure
H30217,No Failure
M15664,No Failure
M15665,No Failure
M15666,No Failure
L47987,No Failure
L47988,No Failure
L47989,No Failure
L47990,No Failure
L47991,No Failure
L47992,No Failure
L47993,No Failure
M15674,No Failure
M15675,No Failure
L47996,No Failure
L47997,No Failure
L47998,No Failure
L47999,No Failure
L48000,No Failure
L48001,No Failure
M15682,No Failure
M15683,No Failure
L48004,No Failure
L48005,No Failure
L48006,No Failure
L48007,No Failure
L48008,No Failure
L48009,No Failure
L48010,No Failure
M15691,No Failure
L48012,No Failure
L48013,No Failure
H30248,No Failure
M15695,No Failure
L48016,No Failure
L48017,No Failure
H30252,No Failure
M15699,No Failure
L48020,No Failure
L48021,No Failure
M15702,No Failure
L48023,No Failure
L48024,No Failure
L48025,No Failure
M15706,No Failure
L48027,Power Failure
L48028,No Failure
H30263,No Failure
L48030,No Failure
M15711,No Failure
M15712,No Failure
L48033,No Failure
M15714,No Failure
L48035,No Failure
L48036,No Failure
M15717,No Failure
M15718,No Failure
H30273,No Failure
H30274,No Failure
M15721,No Failure
H30276,No Failure
L48043,No Failure
M15724,No Failure
L48045,No Failure
L48046,No Failure
H30281,No Failure
M15728,No Failure
L48049,No Failure
L48050,No Failure
L48051,No Failure
M15732,No Failure
L48053,No Failure
L48054,No Failure
M15735,No Failure
L48056,No Failure
M15737,No Failure
M15738,No Failure
L48059,No Failure
M15740,Power Failure
L48061,No Failure
M15742,No Failure
L48063,No Failure
L48064,No Failure
L48065,No Failure
L48066,No Failure
H30301,No Failure
M15748,No Failure
L48069,No Failure
L48070,No Failure
L48071,No Failure
L48072,No Failure
M15753,No Failure
L48074,No Failure
M15755,No Failure
L48076,No Failure
L48077,No Failure
L48078,No Failure
H30313,No Failure
L48080,No Failure
H30315,No Failure
L48082,No Failure
L48083,Power Failure
H30318,No Failure
L48085,No Failure
M15766,No Failure
M15767,No Failure
M15768,No Failure
L48089,No Failure
L48090,No Failure
M15771,No Failure
L48092,No Failure
L48093,No Failure
M15774,No Failure
M15775,No Failure
M15776,No Failure
L48097,No Failure
M15778,No Failure
L48099,No Failure
M15780,No Failure
H30335,No Failure
M15782,No Failure
M15783,No Failure
L48104,No Failure
H30339,No Failure
L48106,Overstrain Failure
H30341,No Failure
L48108,No Failure
L48109,No Failure
M15790,No Failure
L48111,No Failure
L48112,No Failure
L48113,No Failure
M15794,No Failure
M15795,No Failure
M15796,No Failure
L48117,No Failure
L48118,No Failure
L48119,No Failure
L48120,No Failure
L48121,No Failure
M15802,No Failure
M15803,No Failure
M15804,No Failure
M15805,No Failure
L48126,No Failure
L48127,No Failure
M15808,No Failure
L48129,No Failure
L48130,No Failure
H30365,No Failure
L48132,No Failure
L48133,No Failure
H30368,No Failure
L48135,No Failure
H30370,No Failure
M15817,No Failure
L48138,No Failure
L48139,No Failure
L48140,No Failure
L48141,No Failure
M15822,No Failure
L48143,No Failure
L48144,No Failure
L48145,No Failure
M15826,No Failure
M15827,No Failure
L48148,No Failure
L48149,No Failure
L48150,No Failure
L48151,No Failure
L48152,No Failure
L48153,No Failure
L48154,No Failure
M15835,No Failure
M15836,No Failure
L48157,No Failure
M15838,No Failure
L48159,No Failure
L48160,No Failure
L48161,No Failure
L48162,No Failure
L48163,No Failure
L48164,No Failure
L48165,No Failure
H30400,No Failure
M15847,No Failure
H30402,No Failure
M15849,No Failure
L48170,No Failure
M15851,No Failure
L48172,No Failure
M15853,No Failure
M15854,No Failure
L48175,No Failure
M15856,No Failure
M15857,No Failure
M15858,No Failure
L48179,No Failure
L48180,No Failure
L48181,No Failure
L48182,No Failure
L48183,No Failure
H30418,No Failure
L48185,No Failure
L48186,No Failure
M15867,No Failure
L48188,No Failure
M15869,No Failure
M15870,No Failure
M15871,No Failure
M15872,No Failure
M15873,No Failure
L48194,No Failure
L48195,No Failure
M15876,Power Failure
L48197,No Failure
L48198,No Failure
L48199,No Failure
L48200,No Failure
M15881,No Failure
L48202,No Failure
L48203,No Failure
L48204,No Failure
L48205,No Failure
L48206,No Failure
M15887,No Failure
L48208,No Failure
M15889,No Failure
L48210,No Failure
L48211,No Failure
L48212,No Failure
H30447,No Failure
M15894,No Failure
L48215,No Failure
M15896,No Failure
H30451,No Failure
L48218,No Failure
L48219,No Failure
L48220,No Failure
L48221,No Failure
L48222,No Failure
L48223,No Failure
L48224,No Failure
H30459,No Failure
L48226,No Failure
M15907,No Failure
L48228,No Failure
L48229,No Failure
L48230,No Failure
L48231,No Failure
L48232,No Failure
M15913,No Failure
H30468,No Failure
L48235,No Failure
L48236,No Failure
L48237,No Failure
L48238,No Failure
M15919,No Failure
H30474,No Failure
L48241,No Failure
L48242,No Failure
M15923,No Failure
M15924,No Failure
L48245,No Failure
M15926,No Failure
L48247,No Failure
L48248,No Failure
M15929,No Failure
M15930,No Failure
L48251,No Failure
M15932,No Failure
L48253,No Failure
L48254,No Failure
H30489,No Failure
L48256,No Failure
L48257,No Failure
H30492,No Failure
L48259,No Failure
L48260,No Failure
L48261,No Failure
H30496,No Failure
L48263,No Failure
M15944,No Failure
L48265,Overstrain Failure
L48266,No Failure
H30501,Tool Wear Failure
M15948,No Failure
M15949,No Failure
L48270,No Failure
L48271,No Failure
M15952,No Failure
M15953,No Failure
L48274,No Failure
L48275,Power Failure
L48276,No Failure
H30511,No Failure
M15958,No Failure
M15959,No Failure
H30514,No Failure
H30515,No Failure
L48282,No Failure
M15963,No Failure
L48284,No Failure
M15965,No Failure
L48286,No Failure
M15967,No Failure
L48288,No Failure
L48289,No Failure
L48290,No Failure
H30525,No Failure
M15972,No Failure
M15973,No Failure
H30528,No Failure
M15975,No Failure
L48296,No Failure
L48297,No Failure
L48298,No Failure
L48299,No Failure
H30534,No Failure
L48301,No Failure
L48302,No Failure
H30537,Power Failure
M15984,Power Failure
M15985,No Failure
L48306,No Failure
M15987,No Failure
M15988,No Failure
L48309,No Failure
L48310,No Failure
L48311,No Failure
L48312,No Failure
M15993,No Failure
M15994,No Failure
L48315,No Failure
L48316,No Failure
L48317,No Failure
L48318,No Failure
M15999,No Failure
M16000,No Failure
L48321,No Failure
L48322,No Failure
L48323,No Failure
L48324,Power Failure
L48325,No Failure
L48326,No Failure
M16007,No Failure
L48328,No Failure
L48329,No Failure
L48330,No Failure
L48331,No Failure
L48332,No Failure
H30567,No Failure
L48334,No Failure
H30569,No Failure
H30570,No Failure
L48337,No Failure
L48338,No Failure
L48339,No Failure
H30574,No Failure
L48341,Overstrain Failure
L48342,Overstrain Failure
L48343,No Failure
L48344,No Failure
L48345,No Failure
M16026,No Failure
L48347,Overstrain Failure
L48348,No Failure
L48349,No Failure
M16030,No Failure
H30585,No Failure
L48352,No Failure
H30587,No Failure
M16034,No Failure
M16035,No Failure
M16036,No Failure
M16037,No Failure
L48358,No Failure
L48359,No Failure
H30594,No Failure
L48361,No Failure
L48362,No Failure
L48363,No Failure
L48364,No Failure
L48365,No Failure
L48366,No Failure
M16047,No Failure
L48368,No Failure
M16049,No Failure
L48370,No Failure
M16051,No Failure
M16052,No Failure
L48373,No Failure
M16054,No Failure
M16055,No Failure
M16056,No Failure
M16057,No Failure
H30612,No Failure
M16059,No Failure
M16060,No Failure
L48381,No Failure
M16062,No Failure
H30617,No Failure
L48384,No Failure
L48385,No Failure
H30620,No Failure
M16067,No Failure
L48388,No Failure
H30623,No Failure
L48390,No Failure
H30625,No Failure
L48392,No Failure
M16073,No Failure
M16074,No Failure
L48395,No Failure
L48396,No Failure
L48397,No Failure
M16078,No Failure
M16079,No Failure
L48400,No Failure
M16081,Random Failures
L48402,No Failure
L48403,No Failure
L48404,No Failure
H30639,No Failure
L48406,No Failure
L48407,No Failure
M16088,No Failure
L48409,No Failure
M16090,No Failure
M16091,No Failure
L48412,No Failure
M16093,No Failure
H30648,No Failure
H30649,No Failure
H30650,No Failure
M16097,No Failure
M16098,No Failure
H30653,No Failure
L48420,No Failure
M16101,No Failure
L48422,No Failure
M16103,No Failure
L48424,No Failure
M16105,No Failure
H30660,No Failure
L48427,No Failure
L48428,No Failure
L48429,No Failure
L48430,No Failure
M16111,No Failure
L48432,No Failure
L48433,No Failure
H30668,No Failure
H30669,No Failure
M16116,No Failure
L48437,No Failure
L48438,No Failure
M16119,No Failure
L48440,No Failure
H30675,No Failure
H30676,No Failure
L48443,No Failure
M16124,No Failure
L48445,No Failure
L48446,No Failure
M16127,No Failure
L48448,No Failure
L48449,No Failure
M16130,No Failure
H30685,No Failure
H30686,No Failure
L48453,No Failure
H30688,No Failure
M16135,No Failure
M16136,No Failure
M16137,No Failure
L48458,No Failure
M16139,No Failure
H30694,No Failure
H30695,No Failure
L48462,No Failure
L48463,No Failure
L48464,Power Failure
M16145,No Failure
L48466,No Failure
L48467,No Failure
M16148,No Failure
M16149,No Failure
L48470,No Failure
M16151,No Failure
M16152,No Failure
H30707,No Failure
L48474,No Failure
L48475,No Failure
L48476,No Failure
L48477,No Failure
M16158,No Failure
M16159,No Failure
L48480,No Failure
L48481,No Failure
L48482,Random Failures
L48483,No Failure
L48484,No Failure
L48485,No Failure
L48486,No Failure
L48487,No Failure
L48488,No Failure
L48489,No Failure
L48490,No Failure
L48491,No Failure
L48492,No Failure
L48493,No Failure
M16174,No Failure
L48495,No Failure
L48496,No Failure
L48497,No Failure
M16178,No Failure
L48499,No Failure
M16180,No Failure
L48501,No Failure
H30736,No Failure
L48503,No Failure
M16184,Power Failure
H30739,No Failure
L48506,No Failure
L48507,No Failure
M16188,No Failure
H30743,No Failure
L48510,No Failure
H30745,No Failure
L48512,No Failure
M16193,No Failure
L48514,Overstrain Failure
L48515,Overstrain Failure
L48516,No Failure
H30751,No Failure
L48518,No Failure
M16199,No Failure
L48520,No Failure
M16201,No Failure
M16202,No Failure
L48523,No Failure
L48524,No Failure
L48525,No Failure
L48526,No Failure
L48527,No Failure
L48528,No Failure
L48529,No Failure
L48530,No Failure
L48531,No Failure
M16212,No Failure
M16213,No Failure
L48534,No Failure
M16215,No Failure
L48536,No Failure
L48537,No Failure
M16218,No Failure
L48539,No Failure
H30774,No Failure
M16221,No Failure
L48542,No Failure
L48543,No Failure
L48544,No Failure
L48545,No Failure
M16226,No Failure
M16227,No Failure
H30782,No Failure
M16229,No Failure
L48550,No Failure
M16231,No Failure
M16232,No Failure
M16233,No Failure
L48554,No Failure
M16235,No Failure
M16236,No Failure
L48557,No Failure
H30792,No Failure
L48559,No Failure
L48560,No Failure
M16241,No Failure
L48562,No Failure
M16243,No Failure
L48564,No Failure
M16245,No Failure
L48566,No Failure
L48567,No Failure
H30802,No Failure
L48569,No Failure
L48570,No Failure
L48571,Power Failure
M16252,No Failure
L48573,No Failure
L48574,No Failure
L48575,No Failure
L48576,No Failure
L48577,No Failure
L48578,No Failure
L48579,No Failure
H30814,No Failure
H30815,No Failure
M16262,No Failure
L48583,No Failure
M16264,No Failure
L48585,No Failure
L48586,No Failure
L48587,No Failure
L48588,No Failure
L48589,No Failure
M16270,No Failure
L48591,No Failure
M16272,No Failure
M16273,No Failure
M16274,No Failure
L48595,No Failure
M16276,No Failure
L48597,No Failure
L48598,No Failure
L48599,Overstrain Failure
M16280,No Failure
L48601,No Failure
L48602,No Failure
L48603,No Failure
L48604,No Failure
L48605,No Failure
M16286,No Failure
L48607,No Failure
L48608,No Failure
M16289,No Failure
L48610,No Failure
M16291,No Failure
L48612,No Failure
L48613,No Failure
M16294,No Failure
H30849,No Failure
H30850,No Failure
H30851,No Failure
L48618,No Failure
M16299,No Failure
M16300,No Failure
L48621,No Failure
M16302,No Failure
L48623,No Failure
L48624,No Failure
L48625,No Failure
M16306,No Failure
M16307,No Failure
M16308,No Failure
H30863,No Failure
M16310,No Failure
L48631,No Failure
L48632,No Failure
L48633,No Failure
L48634,No Failure
L48635,No Failure
L48636,No Failure
L48637,No Failure
L48638,No Failure
L48639,No Failure
L48640,No Failure
L48641,No Failure
L48642,No Failure
L48643,No Failure
L48644,No Failure
L48645,No Failure
L48646,No Failure
L48647,No Failure
M16328,No Failure
L48649,No Failure
L48650,No Failure
L48651,No Failure
M16332,No Failure
M16333,No Failure
M16334,No Failure
M16335,No Failure
L48656,No Failure
L48657,No Failure
L48658,No Failure
L48659,No Failure
M16340,No Failure
M16341,No Failure
M16342,No Failure
L48663,No Failure
M16344,No Failure
M16345,No Failure
M16346,No Failure
L48667,No Failure
L48668,No Failure
M16349,No Failure
L48670,No Failure
M16351,No Failure
M16352,Power Failure
L48673,No Failure
M16354,No Failure
H30909,No Failure
L48676,Power Failure
L48677,No Failure
L48678,No Failure
M16359,No Failure
M16360,No Failure
M16361,No Failure
L48682,No Failure
L48683,No Failure
L48684,No Failure
L48685,No Failure
L48686,No Failure
M16367,No Failure
M16368,No Failure
L48689,Tool Wear Failure
M16370,No Failure
L48691,No Failure
H30926,No Failure
L48693,No Failure
M16374,No Failure
M16375,No Failure
L48696,No Failure
M16377,No Failure
H30932,No Failure
M16379,No Failure
L48700,No Failure
M16381,No Failure
H30936,No Failure
L48703,No Failure
L48704,No Failure
L48705,No Failure
L48706,No Failure
H30941,No Failure
L48708,No Failure
L48709,No Failure
L48710,No Failure
H30945,No Failure
M16392,No Failure
M16393,No Failure
L48714,No Failure
L48715,No Failure
M16396,No Failure
M16397,No Failure
L48718,No Failure
M16399,No Failure
M16400,No Failure
